qid,full_question,subid,subquestion
Problemone,"Let X = (X1, X2, ..., Xn) be i.i.d. with log-normal density:
f(x, θ) = (1 / (x√(2πθ))) e^{−[log(x)]² / (2θ)}, x > 0.
θ > 0 is a parameter.",c,Find the MLE of h(θ) = θ and show that it is unbiased. Is it the UMVUE? Justify.
Problemone,"Let X = (X1, X2, ..., Xn) be i.i.d. with log-normal density:
f(x, θ) = (1 / (x√(2πθ))) e^{−[log(x)]² / (2θ)}, x > 0.
θ > 0 is a parameter.",d,Find the MLE of h̃(θ) = √θ and determine its asymptotic distribution.
Problemone,"Let X = (X1, X2, ..., Xn) be i.i.d. with log-normal density:
f(x, θ) = (1 / (x√(2πθ))) e^{−[log(x)]² / (2θ)}, x > 0.
θ > 0 is a parameter.",e,"Prove the family L(X, θ) has a monotone likelihood ratio in T = ∑(log(Xi))²."
Problemone,"Let X = (X1, X2, ..., Xn) be i.i.d. with log-normal density:
f(x, θ) = (1 / (x√(2πθ))) e^{−[log(x)]² / (2θ)}, x > 0.
θ > 0 is a parameter.",f,Argue that a UMP α-size test of H₀: θ ≤ θ₀ vs. H₁: θ > θ₀ exists and describe it.
Problemone,"Let X = (X1, X2, ..., Xn) be i.i.d. with log-normal density:
f(x, θ) = (1 / (x√(2πθ))) e^{−[log(x)]² / (2θ)}, x > 0.
θ > 0 is a parameter.",g,Find the threshold constant and determine the UMP α-size test φ∗ for H₀: θ ≤ θ₀ vs. H₁: θ > θ₀.
Problemtwo,"Let X = (X1, ..., Xn) be i.i.d. from Uniform(0, θ), θ > 0.
f(x, θ) = 1/θ if 0 < x < θ, 0 elsewhere.",a,"Show that the family {L(X, θ)}, θ > 0 has a monotone likelihood ratio in X(n)."
Problemtwo,"Let X = (X1, ..., Xn) be i.i.d. from Uniform(0, θ), θ > 0.
f(x, θ) = 1/θ if 0 < x < θ, 0 elsewhere.",b,Use a) (or otherwise) to determine the UMP α-size test of H₀: θ ≤ 3 vs. H₁: θ > 3.
Problemtwo,"Let X = (X1, ..., Xn) be i.i.d. from Uniform(0, θ), θ > 0.
f(x, θ) = 1/θ if 0 < x < θ, 0 elsewhere.",c,Find the power function of the test in b) and sketch Eθφ∗.
Problemtwo,"Let X = (X1, ..., Xn) be i.i.d. from Uniform(0, θ), θ > 0.
f(x, θ) = 1/θ if 0 < x < θ, 0 elsewhere.",d,Show that X(1)/X(n) and X(n) are independent by finding their joint density.
Problemthree,"Let X = (X1, ..., Xn) ~ (1 + θ)x^θ, x in (0,1), θ > -1.
Also consider Y = (Y1, ..., Yn) an independent sample with parameter θ2.",1,Why is T = ∑ log(Xi) complete and minimal sufficient for θ?
Problemthree,"Let X = (X1, ..., Xn) ~ (1 + θ)x^θ, x in (0,1), θ > -1.
Also consider Y = (Y1, ..., Yn) an independent sample with parameter θ2.",2,"If h(θ) = 1/(1+θ), argue that the MLE ĥ is unbiased."
Problemthree,"Let X = (X1, ..., Xn) ~ (1 + θ)x^θ, x in (0,1), θ > -1.
Also consider Y = (Y1, ..., Yn) an independent sample with parameter θ2.",3,State the asymptotic distribution of √n(ĥ− h(θ)).
Problemthree,"Let X = (X1, ..., Xn) ~ (1 + θ)x^θ, x in (0,1), θ > -1.
Also consider Y = (Y1, ..., Yn) an independent sample with parameter θ2.",4,"Let g(θ1, θ2) = (θ1+1)/(θ2+1). Show √n(ĝ − g(θ1, θ2)) → N(0, 2(θ1 + 1)²/(θ2 + 1)²)."
Problemfour,"Let X(1) < X(2) < X(3) < X(4) be order statistics from f(x) = 2e^{-2x}, x > 0, sample size n = 4.",1,Find the numerical value of E(X(2)).
Problemfour,"Let X(1) < X(2) < X(3) < X(4) be order statistics from f(x) = 2e^{-2x}, x > 0, sample size n = 4.",2,"Find the density of M = 1/2(X(1) + X(4)), in exponential form."
Problemfour,"Let X(1) < X(2) < X(3) < X(4) be order statistics from f(x) = 2e^{-2x}, x > 0, sample size n = 4.",3,Find P(M > 1/2).
Problemone,"For n×n matrices, the computational costs of some common operations are given in Table 1.1.
Table 1.1: Computational costs for matrix operations
Operation: Matrix multiplication
Flops: 2*n^3
Operation: QR factorization
Flops: 2𝑛^3+𝑂(𝑛^2)
Operation: LU factorization
Flops: 2𝑛^3/3+𝑂(𝑛^2)
Operation: Cholesky factorization
Flops: 𝑛^3/3+𝑂(𝑛^2)
Operation: Back/forward substitution (each)
Flops: 𝑛^2+𝑂(𝑛)
Operation: Tridiagonal solve
Flops: 8n+O(1)
A high powered workstation has a 2.4 GHz 8-core Xeon processor, where each core can do four floating point operations per clock cycle, 16 GB RAM and 20 MB of cache memory.
A simulation requires the evaluation of the multivariate density function:
𝑓(𝑥)=exp⁡(−(𝑥−𝜇)^𝑇*𝐶^(−1)*(𝑥−𝜇)/2)/((2𝜋)^𝑛*det⁡(𝐶))^0.5, at N vectors , 𝑥𝑗∈𝑅, 𝑗=1,…,𝑁, The vectors are stored as the columns of a matrix 𝑋∈𝑅. C∈R n×nis a nonsingular covariance matrix.
a) What is the largest covariance matrix C that can be stored in the cache memory of the workstation using IEEE double precision?
b)Estimate the speed of the workstation in Gflops per second.
c)What is the largest value of n so that a linear system Cx = b can be solved in 1 minute on this workstation?
d)Analyst 1 claims that the simulation will take 2Nn^3/3 flops while Analyst 2 claims the simulation will take n^3/3 + O(Nn^2) flops. Explain why you agree with one or neither of the analysts.
e)Explain how you would efficiently calculate f(x_j), j = 1, ..., N.",1a,What is the largest covariance matrix C that can be stored in the cache memory of the workstation using IEEE double precision?
Problemone,"For n×n matrices, the computational costs of some common operations are given in Table 1.1.
Table 1.1: Computational costs for matrix operations
Operation: Matrix multiplication
Flops: 2*n^3
Operation: QR factorization
Flops: 2𝑛^3+𝑂(𝑛^2)
Operation: LU factorization
Flops: 2𝑛^3/3+𝑂(𝑛^2)
Operation: Cholesky factorization
Flops: 𝑛^3/3+𝑂(𝑛^2)
Operation: Back/forward substitution (each)
Flops: 𝑛^2+𝑂(𝑛)
Operation: Tridiagonal solve
Flops: 8n+O(1)
A high powered workstation has a 2.4 GHz 8-core Xeon processor, where each core can do four floating point operations per clock cycle, 16 GB RAM and 20 MB of cache memory.
A simulation requires the evaluation of the multivariate density function:
𝑓(𝑥)=exp⁡(−(𝑥−𝜇)^𝑇*𝐶^(−1)*(𝑥−𝜇)/2)/((2𝜋)^𝑛*det⁡(𝐶))^0.5, at N vectors , 𝑥𝑗∈𝑅, 𝑗=1,…,𝑁, The vectors are stored as the columns of a matrix 𝑋∈𝑅. C∈R n×nis a nonsingular covariance matrix.
a) What is the largest covariance matrix C that can be stored in the cache memory of the workstation using IEEE double precision?
b)Estimate the speed of the workstation in Gflops per second.
c)What is the largest value of n so that a linear system Cx = b can be solved in 1 minute on this workstation?
d)Analyst 1 claims that the simulation will take 2Nn^3/3 flops while Analyst 2 claims the simulation will take n^3/3 + O(Nn^2) flops. Explain why you agree with one or neither of the analysts.
e)Explain how you would efficiently calculate f(x_j), j = 1, ..., N.",1b,Estimate the speed of the workstation in Gflops per second.
Problemone,"For n×n matrices, the computational costs of some common operations are given in Table 1.1.
Table 1.1: Computational costs for matrix operations
Operation: Matrix multiplication
Flops: 2*n^3
Operation: QR factorization
Flops: 2𝑛^3+𝑂(𝑛^2)
Operation: LU factorization
Flops: 2𝑛^3/3+𝑂(𝑛^2)
Operation: Cholesky factorization
Flops: 𝑛^3/3+𝑂(𝑛^2)
Operation: Back/forward substitution (each)
Flops: 𝑛^2+𝑂(𝑛)
Operation: Tridiagonal solve
Flops: 8n+O(1)
A high powered workstation has a 2.4 GHz 8-core Xeon processor, where each core can do four floating point operations per clock cycle, 16 GB RAM and 20 MB of cache memory.
A simulation requires the evaluation of the multivariate density function:
𝑓(𝑥)=exp⁡(−(𝑥−𝜇)^𝑇*𝐶^(−1)*(𝑥−𝜇)/2)/((2𝜋)^𝑛*det⁡(𝐶))^0.5, at N vectors , 𝑥𝑗∈𝑅, 𝑗=1,…,𝑁, The vectors are stored as the columns of a matrix 𝑋∈𝑅. C∈R n×nis a nonsingular covariance matrix.
a) What is the largest covariance matrix C that can be stored in the cache memory of the workstation using IEEE double precision?
b)Estimate the speed of the workstation in Gflops per second.
c)What is the largest value of n so that a linear system Cx = b can be solved in 1 minute on this workstation?
d)Analyst 1 claims that the simulation will take 2Nn^3/3 flops while Analyst 2 claims the simulation will take n^3/3 + O(Nn^2) flops. Explain why you agree with one or neither of the analysts.
e)Explain how you would efficiently calculate f(x_j), j = 1, ..., N.",1c,What is the largest value of n so that a linear system Cx = b can be solved in 1 minute on this workstation?
